id,trip_id,date,city,city_clean,city_status,has_description,themes,description
ACT-004092,TRIP-70211,2019-05-04,01 Ingresso Disney World - Data Fixa,,desconhecido,True,Gastronomia|História & Cultura,"Pela manhã, visita à National Gallery em Trafalgar Square. Em seguida, Piccadilly Circus e a famosa Fortnum & Mason. À tarde, passeio pelo Hyde Park e visita ao Palácio de Kensington. Jantar em South Kensington."
ACT-002493,TRIP-32131,2022-09-25,Dubai,Dubai,limpo,True,Gastronomia|Natureza & Paisagem|Aventura,"Neste dia, recomendamos visita ao Dubai Mall e ao complexo Burj Khalifa. À tarde, excursão ao deserto com passeio de camelo e jantar ao ar livre sob as estrelas. Uma experiência única que contrasta com a modernidade da cidade."
ACT-002915,TRIP-95233,2022-08-18,Miami,Miami,limpo,True,Gastronomia|Arte & Museus|História & Cultura|Arquitetura,"Pela manhã, passeio pelo Art Deco Historic District em South Beach, com guia especializado em arquitetura dos anos 30. Almoço em restaurante cubano em Little Havana. À tarde, visita ao Wynwood Walls e seu impressionante museu de arte urbana ao ar livre."
ACT-004280,TRIP-44576,2022-05-14,Nova York,Nova York,limpo,True,Gastronomia,"Neste dia, recomendamos visita à Estátua da Liberdade e à Ellis Island pela manhã. À tarde, exploração do bairro de Lower Manhattan — Wall Street, One World Observatory e o 9/11 Memorial. Jantar no bairro de Tribeca."
ACT-003530,TRIP-43010,2018-05-25,Marrakech,Marrakech,limpo,False,,
ACT-000200,TRIP-51505,2023-09-13,Lisboa,Lisboa,limpo,True,Arte & Museus|História & Cultura|Compras,"Para este dia, sugerimos começar pela Avenida da Liberdade, com suas lojas de luxo. Em seguida, visita ao Chiado e ao Museu do Azulejo. À tarde, passeio de elétrico histórico pelas ruas íngremes da cidade."
ACT-003777,TRIP-25195,2023-11-03,Dubai,Dubai,limpo,False,,
ACT-002903,TRIP-39600,2023-04-08,Buenos Aires,Buenos Aires,limpo,True,Gastronomia|História & Cultura|Natureza & Paisagem|Compras|Vida Noturna,"Pela manhã, visita ao bairro de La Boca e sua famosa Caminito, com suas casas coloridas e tango nas ruas. Em seguida, San Telmo e seu mercado de antiguidades. À tarde, Recoleta e o famoso cemitério histórico. Jantar com show de tango ao vivo."
ACT-001196,TRIP-45968,2018-12-28,Buenos Aires,Buenos Aires,limpo,True,Gastronomia|História & Cultura|Natureza & Paisagem|Compras|Vida Noturna,"Pela manhã, visita ao bairro de La Boca e sua famosa Caminito, com suas casas coloridas e tango nas ruas. Em seguida, San Telmo e seu mercado de antiguidades. À tarde, Recoleta e o famoso cemitério histórico. Jantar com show de tango ao vivo."
ACT-000015,TRIP-83000,2021-05-21,Miami,Miami,limpo,True,Arte & Museus|Praia & Mar|Compras|Romance,"Pela manhã, exploração do Coconut Grove, bairro boêmio com lojas e cafés charmosos. À tarde, visita ao Vizcaya Museum & Gardens, uma villa italiana do século XX às margens da Baía. Para encerrar, cocktail ao pôr do sol em rooftop."
ACT-000130,TRIP-79827,2022-01-12,Cairo,Cairo,limpo,True,Gastronomia|Arte & Museus|História & Cultura|Natureza & Paisagem|Praia & Mar,"Pela manhã, visita às Pirâmides de Gizé e à Esfinge — as únicas maravilhas do mundo antigo ainda de pé. Almoço com vista para as pirâmides. À tarde, Museu Egípcio do Cairo, com as máscaras e tesouros de Tutancâmon."
ACT-004779,TRIP-72087,2021-01-24,São Paulo / Atenas,Atenas,normalizado,True,Gastronomia|Arte & Museus|História & Cultura|Natureza & Paisagem,"Neste dia, recomendamos o Museu Arqueológico Nacional pela manhã, com a maior coleção de arte grega do mundo. À tarde, exploração do bairro de Monastiraki e seu animado bazar. Para encerrar, jantar com vista para a Acrópole iluminada."
ACT-002907,TRIP-44274,2023-10-13,Veneza,Veneza,limpo,True,Gastronomia|Arte & Museus|Compras,"Neste dia, recomendamos começar cedo no Mercado de Rialto, um dos mais animados de Veneza. Passeio pelo Grande Canal de vaporetto. À tarde, visita à Galleria dell'Accademia e ao bairro de Dorsoduro. Jantar em restaurante ribeirinho."
ACT-003608,TRIP-80971,2019-05-13,Dubai,Dubai,limpo,True,História & Cultura|Praia & Mar|Aventura|Arquitetura,"Para este dia, sugerimos começar pela elegante Mesquita Jumeirah. Em seguida, passeio pela Marina de Dubai e suas arranha-céus impressionantes. À tarde, visita ao Palm Jumeirah com parada em frente ao Burj Al Arab."
ACT-001788,TRIP-34149,2021-04-13,Atenas,Atenas,limpo,True,Gastronomia|História & Cultura|Romance|Aventura,"Para este dia, sugerimos uma excursão ao Cabo Sunião para ver o Templo de Posêidon ao pôr do sol — uma experiência inesquecível. De volta a Atenas, jantar de frutos do mar no Pireu."
ACT-001919,TRIP-62162,2020-12-07,Florença,Florença,limpo,True,Arte & Museus|Natureza & Paisagem|Aventura,"Pela manhã, visita à Galleria degli Uffizi, com obras de Botticelli, Leonardo e Michelangelo. Em seguida, caminhada pela Ponte Vecchio sobre o Rio Arno. À tarde, subida ao Piazzale Michelangelo para a melhor vista de Florença."
ACT-000312,TRIP-30308,2019-04-05,Atenas,Atenas,limpo,True,Gastronomia|Arte & Museus|História & Cultura|Natureza & Paisagem,"<p>Neste dia, recomendamos o Museu Arqueológico Nacional pela manhã, com a maior coleção de arte grega do mundo. À tarde, exploração do bairro de Monastiraki e seu animado bazar. Para encerrar, jantar com vista para a Acrópole iluminada.</p>"
ACT-004349,TRIP-59398,2018-07-06,Chegada e check-in em Londres,Londres,normalizado,False,,
ACT-000168,TRIP-49857,2018-08-23,Nova York,Nova York,limpo,True,Arte & Museus|História & Cultura|Natureza & Paisagem|Vida Noturna,"Pela manhã, Harlem e seus murais históricos. Visita à Apollo Theater. À tarde, Museum of Modern Art — MoMA. Para encerrar, cocktail em rooftop bar com vista para o skyline de Manhattan ao anoitecer."
ACT-000404,TRIP-75546,2022-09-13,Londres,Londres,limpo,True,Gastronomia|Aventura|Arquitetura,"Neste dia, recomendamos visita à Torre de Londres para ver as joias da Coroa, seguida de caminhada pela Tower Bridge. À tarde, exploração do Borough Market e do bairro de Shoreditch. Jantar em restaurante contemporâneo britânico."
ACT-003303,TRIP-72843,2022-08-02,Florença,Florença,limpo,True,Gastronomia|História & Cultura|Aventura,"Para este dia, sugerimos uma excursão à Toscana: vinhedos de Chianti, vila medieval de Siena e San Gimignano com suas torres medievais. Almoço em fazenda local com degustação de azeite e vinho."
ACT-000749,TRIP-72003,2021-10-20,Istambul,Istambul,limpo,True,Gastronomia|História & Cultura|Praia & Mar|Compras|Romance,"Para este dia, sugerimos travessia de balsa para o lado asiático — bairro de Kadıköy e seu mercado gastronômico. À tarde, Palácio de Dolmabahçe, à beira do Bósforo. Para encerrar, cruzeiro ao pôr do sol com drinques."
ACT-004143,TRIP-65023,2018-04-04,Londres,Londres,limpo,True,Arte & Museus|História & Cultura|Vida Noturna|Bem-estar,"Neste dia livre, recomendamos exploração de Camden Market pela manhã. À tarde, visita ao Museu de História Natural e ao Victoria & Albert Museum, ambos de acesso gratuito. Para encerrar, aperitivo em pub tradicional londrino."
ACT-004826,TRIP-42281,2019-05-28,Barcelona,Barcelona,limpo,True,Gastronomia|Arte & Museus|Natureza & Paisagem|Aventura,"Pela manhã, visita à Sagrada Família, a obra-prima inacabada de Gaudí. À tarde, passeio pelo Parque Güell com suas esculturas coloridas e vista para a cidade. Para encerrar, caminhada pelas Ramblas e jantar no bairro gótico."
ACT-002663,TRIP-64664,2019-05-12,Orlando,Orlando,limpo,True,Natureza & Paisagem|Parques Temáticos,"Para este dia, sugerimos o parque Universal Studios com seus mundos temáticos imersivos. Destaque para a área de Harry Potter — Hogsmeade e Diagon Alley. À tarde, Islands of Adventure com as montanhas-russas mais emocionantes."
ACT-000983,TRIP-21818,2023-12-03,Amsterdam,Amsterdam,limpo,True,Gastronomia|Arte & Museus|História & Cultura|Praia & Mar|Arquitetura,"Pela manhã, visita ao Rijksmuseum, com as obras-primas de Rembrandt e Vermeer. Em seguida, passeio de barco pelos canais históricos. À tarde, Casa de Anne Frank — uma visita emocionante e necessária. Jantar em restaurante holandês contemporâneo."
ACT-000984,TRIP-55625,2023-09-19,Orlando,Orlando,limpo,True,Natureza & Paisagem|Parques Temáticos,"Para este dia, sugerimos o parque Universal Studios com seus mundos temáticos imersivos. Destaque para a área de Harry Potter — Hogsmeade e Diagon Alley. À tarde, Islands of Adventure com as montanhas-russas mais emocionantes."
ACT-000693,TRIP-86544,2021-09-12,Milão,Milão,limpo,True,Gastronomia|Arte & Museus|Natureza & Paisagem,"Pela manhã, visita ao Duomo di Milano e subida ao terraço para vista panorâmica. Em seguida, Galleria Vittorio Emanuele II para um café tradicional. À tarde, visita ao Cenacolo Vinciano para ver A Última Ceia de Leonardo. Jantar no animado bairro dos Navigli."
ACT-000412,TRIP-85821,2021-05-21,Paris,Paris,limpo,True,Gastronomia|Arte & Museus|História & Cultura,"Neste dia, sugerimos a visita à Basílica de Sacré-Cœur, no alto de Montmartre. Aproveitem para explorar as galerias e ateliês do bairro. À tarde, visita ao Centre Pompidou e jantar no animado bairro do Marais."
ACT-001978,TRIP-66861,2023-06-19,Dubai,Dubai,limpo,True,Arte & Museus|Compras|Vida Noturna|Bem-estar,"Neste dia livre, recomendamos visita ao Dubai Museum para entender a rápida transformação da cidade. À tarde, experiência de compras no Dubai Mall. Para encerrar, o show de fontes dançantes em frente ao Burj Khalifa."
ACT-001381,TRIP-28169,2021-08-25,Tokyo,Tokyo,limpo,True,Arte & Museus|História & Cultura|Compras,"Pela manhã, visita ao templo Senso-ji em Asakusa, o mais antigo de Tóquio. Passeio pelas lojas de artesanato da Nakamise-dori. À tarde, exploração do bairro de Akihabara, o universo eletrônico e da cultura pop japonesa."
ACT-003412,TRIP-16432,2022-02-08,Veneza,Veneza,limpo,True,Arte & Museus|História & Cultura|Praia & Mar|Romance|Aventura,"Pela manhã, visita à Basílica de São Marcos e ao Palácio Ducal na Piazza San Marco. Em seguida, travessia de gôndola pelos canais mais charmosos da cidade. À tarde, excursão às ilhas de Murano, famosa pelo vidro artesanal, e Burano, com suas casas coloridas."
ACT-002540,TRIP-47279,2022-05-16,Barcelona,Barcelona,limpo,True,Arte & Museus|Compras,"Neste dia, recomendamos começar pelo Bairro Gótico e seu labirinto de ruelas medievais. Em seguida, Mercado de La Boqueria. À tarde, visita à Casa Batlló e à Pedrera, as obras modernistas de Gaudí na Passeig de Gràcia."
ACT-004945,TRIP-69970,2019-08-03,Atenas,Atenas,limpo,True,Arte & Museus|História & Cultura,"Pela manhã, visita à Acrópole e ao Partenon, símbolo máximo da civilização grega. Em seguida, Museu da Acrópole, um dos mais modernos da Europa. À tarde, passeio pelo bairro de Plaka, com suas casinhas coloridas e tavernas tradicionais."
ACT-001066,TRIP-52534,2019-11-14,Madrid,Madri,normalizado,True,Gastronomia|Arte & Museus|Natureza & Paisagem|Compras|Aventura|Bem-estar,"Pela manhã, visita ao Museu do Prado, com obras de Velázquez, Goya e El Greco. Em seguida, Parque do Retiro para um passeio tranquilo. À tarde, tapas no Mercado de San Miguel e caminhada pela Gran Vía. Jantar tardio — à moda espanhola."
ACT-004640,TRIP-15862,2023-12-20,Tokyo,Tokyo,limpo,True,Gastronomia|História & Cultura|Natureza & Paisagem|Compras,"Pela manhã, mercado de Tsukiji e café da manhã de frutos do mar. À tarde, exploração do Palácio Imperial e do Jardim Nacional de Shinjuku Gyoen. Para encerrar, subida ao Tokyo Skytree para vista panorâmica noturna."
ACT-003359,TRIP-65358,2019-06-24,Atenas,Atenas,limpo,True,Gastronomia|Arte & Museus|História & Cultura|Natureza & Paisagem,"Neste dia, recomendamos o Museu Arqueológico Nacional pela manhã, com a maior coleção de arte grega do mundo. À tarde, exploração do bairro de Monastiraki e seu animado bazar. Para encerrar, jantar com vista para a Acrópole iluminada."
ACT-004555,TRIP-28705,2019-01-09,Londres,Londres,limpo,True,Gastronomia|História & Cultura,"Pela manhã, visita à National Gallery em Trafalgar Square. Em seguida, Piccadilly Circus e a famosa Fortnum & Mason. À tarde, passeio pelo Hyde Park e visita ao Palácio de Kensington. Jantar em South Kensington."
ACT-000078,TRIP-15075,2023-02-13,Milão,Milão,limpo,True,Gastronomia|Arte & Museus|Natureza & Paisagem,"Pela manhã, visita ao Duomo di Milano e subida ao terraço para vista panorâmica. Em seguida, Galleria Vittorio Emanuele II para um café tradicional. À tarde, visita ao Cenacolo Vinciano para ver A Última Ceia de Leonardo. Jantar no animado bairro dos Navigli."
ACT-003304,TRIP-76416,2020-04-10,Em navegação,,em_navegacao,True,Arte & Museus|História & Cultura|Compras,"Para este dia, sugerimos começar pela Avenida da Liberdade, com suas lojas de luxo. Em seguida, visita ao Chiado e ao Museu do Azulejo. À tarde, passeio de elétrico histórico pelas ruas íngremes da cidade."
ACT-000273,TRIP-38255,2021-07-09,Buenos Aires,Buenos Aires,limpo,True,Gastronomia,"Para este dia, sugerimos a Plaza de Mayo e a Casa Rosada pela manhã. Em seguida, Avenida de Mayo e o imponente Congresso Nacional. À tarde, exploração do bairro de Belgrano. Jantar em bodega com degustação de Malbec."
ACT-000888,TRIP-55351,2018-02-22,Orlando,Orlando,limpo,True,Gastronomia|Natureza & Paisagem|Parques Temáticos,"Neste dia, recomendamos o Epcot pela manhã — uma viagem ao redor do mundo em um único parque. À tarde, Animal Kingdom com o safári pela savana africana. Para encerrar, jantar em um dos restaurantes temáticos internacionais do Epcot."
ACT-000101,TRIP-23970,2023-12-01,Wedding Day,,marcador_operacional,True,Gastronomia|Arte & Museus|Natureza & Paisagem|Aventura,"Pela manhã, visita à Sagrada Família, a obra-prima inacabada de Gaudí. À tarde, passeio pelo Parque Güell com suas esculturas coloridas e vista para a cidade. Para encerrar, caminhada pelas Ramblas e jantar no bairro gótico."
ACT-002716,TRIP-44406,2018-02-05,Tokyo,Tokyo,limpo,True,Gastronomia|História & Cultura|Natureza & Paisagem|Compras,"Pela manhã, mercado de Tsukiji e café da manhã de frutos do mar. À tarde, exploração do Palácio Imperial e do Jardim Nacional de Shinjuku Gyoen. Para encerrar, subida ao Tokyo Skytree para vista panorâmica noturna."
ACT-001641,TRIP-88918,2022-11-11,Chegada e check-in em Amsterdam,Amsterdam,normalizado,True,Gastronomia|Arte & Museus|História & Cultura|Praia & Mar|Arquitetura,"<p>Pela manhã, visita ao Rijksmuseum, com as obras-primas de Rembrandt e Vermeer. Em seguida, passeio de barco pelos canais históricos. À tarde, Casa de Anne Frank — uma visita emocionante e necessária. Jantar em restaurante holandês contemporâneo.</p>"
ACT-001948,TRIP-31002,2021-12-01,Em navegação,,em_navegacao,True,História & Cultura|Aventura,"Pela manhã, passeio em tuk tuk pelo bairro histórico de Alfama, com parada nos principais miradouros. Visita ao Castelo de São Jorge. À tarde, excursão a Belém para conhecer o Mosteiro dos Jerônimos e a Torre de Belém. Não deixem de experimentar o famoso pastel local."
ACT-003821,TRIP-33819,2018-10-14,Madrid,Madri,normalizado,True,Gastronomia|Arte & Museus|Natureza & Paisagem|Compras|Aventura|Bem-estar,"Pela manhã, visita ao Museu do Prado, com obras de Velázquez, Goya e El Greco. Em seguida, Parque do Retiro para um passeio tranquilo. À tarde, tapas no Mercado de San Miguel e caminhada pela Gran Vía. Jantar tardio — à moda espanhola."
ACT-003409,TRIP-28012,2023-02-28,Atenas,Atenas,limpo,True,Arte & Museus|História & Cultura,"Pela manhã, visita à Acrópole e ao Partenon, símbolo máximo da civilização grega. Em seguida, Museu da Acrópole, um dos mais modernos da Europa. À tarde, passeio pelo bairro de Plaka, com suas casinhas coloridas e tavernas tradicionais."
ACT-000758,TRIP-30836,2018-09-26,AMSTERDAM,Amsterdam,normalizado,True,Gastronomia|Arte & Museus|Compras,"Neste dia, recomendamos o Museu Van Gogh pela manhã. À tarde, exploração do bairro de Jordaan, com suas boutiques e cafés. Para encerrar, degustação de queijos e genebre em estabelecimento tradicional."
ACT-001870,TRIP-52879,2022-02-27,Roma,Roma,limpo,True,Gastronomia|História & Cultura|Natureza & Paisagem,"Pela manhã, exploração da Via Appia Antica, a mais antiga das estradas romanas. Almoço em tratoria local. À tarde, visita às Catacumbas de São Calisto. Para encerrar, aperitivo com vista para os Foros Imperiais iluminados."
ACT-003670,TRIP-60393,2022-09-16,Tokyo,Tokyo,limpo,True,Gastronomia|História & Cultura|Natureza & Paisagem|Compras,"Pela manhã, mercado de Tsukiji e café da manhã de frutos do mar. À tarde, exploração do Palácio Imperial e do Jardim Nacional de Shinjuku Gyoen. Para encerrar, subida ao Tokyo Skytree para vista panorâmica noturna."
ACT-002103,TRIP-11545,2019-12-25,Dubai,Dubai,limpo,True,Arte & Museus|Compras|Vida Noturna|Bem-estar,"<p>Neste dia livre, recomendamos visita ao Dubai Museum para entender a rápida transformação da cidade. À tarde, experiência de compras no Dubai Mall. Para encerrar, o show de fontes dançantes em frente ao Burj Khalifa.</p>"
ACT-004590,TRIP-16587,2023-07-07,Marrakech,Marrakech,limpo,True,Gastronomia|Natureza & Paisagem,"Pela manhã, exploração dos souks da Medina — especiarias, tapetes, cerâmicas e couro tradicional. Visita à Medersa Ben Youssef. À tarde, Jardim Majorelle, oásis de azul e verde em plena cidade. Para encerrar, jantar na Praça Djemaa el-Fna."
ACT-002573,TRIP-26607,2020-10-04,Milão,Milão,limpo,True,Gastronomia|Arte & Museus|Natureza & Paisagem,"Pela manhã, visita ao Duomo di Milano e subida ao terraço para vista panorâmica. Em seguida, Galleria Vittorio Emanuele II para um café tradicional. À tarde, visita ao Cenacolo Vinciano para ver A Última Ceia de Leonardo. Jantar no animado bairro dos Navigli."
ACT-004713,TRIP-94936,2020-02-19,Roma,Roma,limpo,True,Arte & Museus|História & Cultura|Compras|Bem-estar,"Neste dia livre, recomendamos o mercado Campo de' Fiori pela manhã, seguido de visita ao Castelo Sant'Angelo. À tarde, passeio pelas ruas do centro histórico e visita à Igreja de São Luís dos Franceses, com as obras de Caravaggio."
ACT-001318,TRIP-75234,2020-08-01,Veneza,Veneza,limpo,True,História & Cultura|Aventura,"Para este dia, sugerimos uma excursão a Verona, cidade de Romeu e Julieta, a apenas uma hora de Veneza. Visita ao anfiteatro romano, à Casa de Julieta e ao centro histórico medieval. De volta, aperitivo veneziano — cicchetti e Spritz."
ACT-002362,TRIP-87170,2020-11-04,Buenos Aires,Buenos Aires,limpo,True,Gastronomia|Natureza & Paisagem,"Neste dia, recomendamos começar pelo bairro de Palermo com seus parques, bares e restaurantes modernos. À tarde, Puerto Madero, a doca renovada às margens do Rio da Prata. Para encerrar, churrascaria argentina — uma experiência gastronômica imperdível."
ACT-003188,TRIP-32795,2023-09-16,Veneza,Veneza,limpo,True,Arte & Museus|História & Cultura|Praia & Mar|Romance|Aventura,"Pela manhã, visita à Basílica de São Marcos e ao Palácio Ducal na Piazza San Marco. Em seguida, travessia de gôndola pelos canais mais charmosos da cidade. À tarde, excursão às ilhas de Murano, famosa pelo vidro artesanal, e Burano, com suas casas coloridas."
ACT-000582,TRIP-69113,2019-03-11,Buenos Aires,Buenos Aires,limpo,True,Gastronomia|Natureza & Paisagem,"<p>Neste dia, recomendamos começar pelo bairro de Palermo com seus parques, bares e restaurantes modernos. À tarde, Puerto Madero, a doca renovada às margens do Rio da Prata. Para encerrar, churrascaria argentina — uma experiência gastronômica imperdível.</p>"
ACT-000772,TRIP-91737,2020-11-17,Madrid,Madri,normalizado,True,História & Cultura,"Neste dia, recomendamos começar pela Plaza Mayor, centro histórico de Madri. Em seguida, visita ao Palácio Real e seus jardins. À tarde, passeio pelo bairro de La Latina com suas tascas tradicionais. Para encerrar, flamenco ao vivo."
ACT-004751,TRIP-57484,2022-02-11,Veneza,Veneza,limpo,True,Gastronomia|Arte & Museus|Compras,"Neste dia, recomendamos começar cedo no Mercado de Rialto, um dos mais animados de Veneza. Passeio pelo Grande Canal de vaporetto. À tarde, visita à Galleria dell'Accademia e ao bairro de Dorsoduro. Jantar em restaurante ribeirinho."
ACT-003685,TRIP-73347,2022-06-24,Atenas,Atenas,limpo,True,Arte & Museus|História & Cultura,"Pela manhã, visita à Acrópole e ao Partenon, símbolo máximo da civilização grega. Em seguida, Museu da Acrópole, um dos mais modernos da Europa. À tarde, passeio pelo bairro de Plaka, com suas casinhas coloridas e tavernas tradicionais."
ACT-004001,TRIP-79355,2022-02-16,Amsterdam,Amsterdam,limpo,True,Gastronomia|Natureza & Paisagem|Compras,"Para este dia, sugerimos aluguel de bicicletas para explorar a cidade como os locais. Visita ao Vondelpark e ao mercado Albert Cuyp. À tarde, exploração do bairro de De Pijp. Jantar com vista para o canal Prinsengracht."
ACT-003964,TRIP-43483,2022-09-22,Orlando,Orlando,limpo,True,Natureza & Paisagem|Parques Temáticos,"Para este dia, sugerimos o parque Universal Studios com seus mundos temáticos imersivos. Destaque para a área de Harry Potter — Hogsmeade e Diagon Alley. À tarde, Islands of Adventure com as montanhas-russas mais emocionantes."
ACT-003956,TRIP-61948,2018-12-28,Dubai,Dubai,limpo,False,,
ACT-002061,TRIP-72809,2019-06-14,Nova York,Nova York,limpo,True,Gastronomia,"Neste dia, recomendamos visita à Estátua da Liberdade e à Ellis Island pela manhã. À tarde, exploração do bairro de Lower Manhattan — Wall Street, One World Observatory e o 9/11 Memorial. Jantar no bairro de Tribeca."
ACT-001208,TRIP-10803,2022-09-11,Nova York,Nova York,limpo,True,Gastronomia|Natureza & Paisagem|Compras,"Para este dia, sugerimos o Brooklyn pela manhã: DUMBO com vista para a Manhattan Bridge, mercado de Smorgasburg e passeio pela Brooklyn Bridge a pé. À tarde, Chelsea Market e visita ao High Line. Jantar no Meatpacking District."
ACT-001618,TRIP-97852,2022-12-15,Nova York,Nova York,limpo,True,Gastronomia|Natureza & Paisagem|Compras,"Para este dia, sugerimos o Brooklyn pela manhã: DUMBO com vista para a Manhattan Bridge, mercado de Smorgasburg e passeio pela Brooklyn Bridge a pé. À tarde, Chelsea Market e visita ao High Line. Jantar no Meatpacking District."
ACT-000521,TRIP-62205,2019-10-05,Atenas,Atenas,limpo,True,Arte & Museus|História & Cultura,"Pela manhã, visita à Acrópole e ao Partenon, símbolo máximo da civilização grega. Em seguida, Museu da Acrópole, um dos mais modernos da Europa. À tarde, passeio pelo bairro de Plaka, com suas casinhas coloridas e tavernas tradicionais."
ACT-000789,TRIP-99220,2019-09-04,Chegada e check-in em Lisboa,Lisboa,normalizado,True,Gastronomia|Natureza & Paisagem|Praia & Mar|Arquitetura,"Pela manhã, visita ao Parque das Nações, moderno bairro ribeirinho com arquitetura contemporânea. À tarde, barco pelo Rio Tejo até Cacilhas para uma vista única sobre Lisboa. Para encerrar, jantar de peixe fresco com vista para o rio."
ACT-002965,TRIP-92076,2023-10-23,Milão,Milão,limpo,True,Arte & Museus,"Neste dia, recomendamos o Museu do Castello Sforzesco pela manhã. À tarde, exploração do Quadrilátero da Moda — Via Montenapoleone e Via della Spiga. Para encerrar, aperitivo na hora do tramonto ao estilo milanês."
ACT-003600,TRIP-63408,2020-01-12,Orlando,Orlando,limpo,True,Natureza & Paisagem|Vida Noturna|Parques Temáticos,"Neste dia mágico, recomendamos visita ao Magic Kingdom — o parque mais emblemático do mundo. Comecem cedo para aproveitar as principais atrações antes das filas. À tarde, parada para o tradicional desfile e, ao anoitecer, o espetáculo de fogos de artifício."
ACT-003592,TRIP-35487,2022-10-26,Amsterdam,Amsterdam,limpo,True,Gastronomia|Arte & Museus|Compras,"Neste dia, recomendamos o Museu Van Gogh pela manhã. À tarde, exploração do bairro de Jordaan, com suas boutiques e cafés. Para encerrar, degustação de queijos e genebre em estabelecimento tradicional."
ACT-002164,TRIP-57227,2019-06-10,São Paulo / Atenas,Atenas,normalizado,True,Gastronomia|Arte & Museus|História & Cultura|Natureza & Paisagem,"Neste dia, recomendamos o Museu Arqueológico Nacional pela manhã, com a maior coleção de arte grega do mundo. À tarde, exploração do bairro de Monastiraki e seu animado bazar. Para encerrar, jantar com vista para a Acrópole iluminada."
